"date","Q1","Q2"
1985.90136986301,130,19
1985.90410958904,127,19
1985.90684931507,140,18
1985.9095890411,136,21
1985.91232876712,126,20
1985.91506849315,122,20
1985.91780821918,128,21
1985.92054794521,128,20
1985.92328767123,124,18
1985.92602739726,101,14
1985.92876712329,106,13
1985.93150684932,113,13
1985.93424657534,121,13
1985.93698630137,111,13
1985.9397260274,102,13
1985.94246575342,100,13
1985.94520547945,94,12
1985.94794520548,99,12
1985.95068493151,100,13
1985.95342465753,101,15
1985.95616438356,100,16
1985.95890410959,101,17
1985.96164383562,104,17
1985.96438356164,104,17
1985.96712328767,107,16
1985.9698630137,106,16
1985.97260273973,105,16
1985.97534246575,102,16
1985.97808219178,102,15
1985.98082191781,99,15
1985.98356164384,97,15
1985.98630136986,97,15
1985.98904109589,98,14
1985.99178082192,99,14
1985.99452054795,100,15
1985.99726027397,100,15
1986,95,14
1986.00273972603,95,14
1986.00547945205,96,14
1986.00821917808,95,14
1986.01095890411,95,14
1986.01369863014,96,14
1986.01643835616,94,14
1986.01917808219,91,14
1986.02191780822,92,14
1986.02465753425,93,14
1986.02739726027,92,14
1986.0301369863,92,14
1986.03287671233,95,14
1986.03561643836,93,13
1986.03835616438,92,13
